"exped","ubic","numextubi","numintubi","colubi"
"1003023","RIO YUKON","401","","DEL VALLE"
"1003024","RIO YUKON 419","","","DEL VALLE"
"1003025","RIO BRAVO","1104","","DEL VALLE"
"1003026","RIO YUKON 413","","","DEL VALLE"
"1003027","RIO YUKON 409","","","DEL VALLE"
"1003028","RIO YUKON 411","","","DEL VALLE"
"1004001","RIO MARNE Y R NAVIA","1001","","DEL VALLE"
"1004002","RIO YUKON","L2 M130","","DEL VALLE"
"1004003","RIO NAVIA","S/N","","BOSQUES DEL VALLE"
"1004005","RIO NAVIA","507","","DEL VALLE"
"1004006","RIO YUKON","508","","DEL VALLE"
"1004007","RIO NAVIA 505 DEL VALLE","","",""
"1004008","RIO YUKON","506","","DEL VALLE"
"1004009","RIO NAVIA 503 VALLE","","",""
"1004010","RIO YUKON L 10 M 130-B","","","DEL VALLE"
"1004011","RIO NAVIA PTE","501","","DEL VALLE"
"1004012","RIO TAMESIS Y RIO YUCON L12 M130","","","DEL VALLE"
"1004013","RIO TAMESIS","800","","DEL VALLE"
"1005001","RIO NAVIA PTE","487","","DEL VALLE"
"1005002","RIO TAMESIS","494","","DEL VALLE"
"1005003","RIO NAVIA","485","","DEL VALLE"
"1005004","RIO YUKON","492","","DEL VALLE"
"1005005","RIO NAVIA 483 DEL VALLE","","",""
"1005006","RIO YUKON 488","","","DEL VALLE"
"1005007","RIO NAVIA","425","","DEL VALLE"
"1005008","RIO YUKON","484","","DEL VALLE"
"1005009","RIO NAVIA PTE","421","","DEL VALLE"
"1005010","RIO YUKON","480","","DEL VALLE"
"1005011","RIO NAVIA","417","","DEL VALLE"
"1005012","RIO YUKON","476","","DEL VALLE"
"1005013","RIO NAVIA L 13 M 102 A","","","DEL VALLE"
"1005014","RIO YUKON","436","","DEL VALLE"
"1005015","RIO NAVIA","413","","DEL VALLE"
"1005016","RIO YUKON","434","","DEL VALLE"
"1005017","RIO NAVIA 411","","","DEL VALLE"
"1005018","RIO YUKON","432","","DEL VALLE"
"1005019","RIO NAVIA","409","","DEL VALLE"
"1005020","RIO YUKON","430","","DEL VALLE"
"1005021","RIO NAVIA 407","","","DEL VALLE"
"1005022","RIO YUKON","428","","VALLE"
"1005023","RIO NAVIA 405","","","VALLE"
"1005024","RIO YUKON PTE 426","","","DEL VALLE"
"1005025","RIO NAVIA","403","","VALLE"
"1005026","RIO YUKON","424","","DEL VALLE"
"1005027","RIO BRAVO","S/N","",""
"1005028","RIO YUKON 402","","","DEL VALLE"
"1005029","RIO BRAVO","452","","DEL VALLE"
"1005030","RIO TAMESI","110","","DEL VALLE"
"1005031","RIO BRAVO 450","","","DEL VALLE"
"1006001","HUMBERTO LOBO","561","","DEL VALLE"
"1006002","HUMBERTO LOBO","900","","DEL VALLE"
"1006003","RIO MISSOURI PTE 555","","","DEL VALLE"
"1006004","RIO NAVIA","L4 M130","C","DEL VALLE"
"1006005","RIO MISSOURI PTE","521","","DEL VALLE"
"1006006","RIO NAVIA 544 DEL VALLE","","",""
"1006007","RIO MISSOURI 515","","","DEL VALLE"
"1006008","RIO NAVIA","514","","DEL VALLE"
"1006009","RIO MISSOURI PTE 513","","","DEL VALLE"
"1006010","RIO NAVIA 512 DEL VALLE","","",""
"1006011","MISSOURI PTE 501 DEL VALLE","","",""
"1006012","RIO NAVIA 510","","","DEL VALLE"
"1007001","RIO MISSOURI 495","","","DEL VALLE"
"1007002","RIO TAMESIS 947","","","DEL VALLE"
"1007003","RIO MISSOURI","487","","DEL VALLE"
"1007004","RIO NAVIA","S/N","","DEL VALLE"
"1007005","RIO MISSOURI 483 DEL VALLE","","",""
"1007006","RIO NAVIA PTE 480","","","DEL VALLE"
"1007007","RIO MISSOURI PTE 479 DEL VALLE","","",""
"1007008","RIO NAVIA","470","","DEL VALLE"
"1007009","RIO MISSOURI 473 DEL VALLE","","",""
"1007010","RIO NAVIA 466","","","VALLE"
"1007011","RIO MISSOURI","467","","DEL VALLE"
"1007012","RIO NAVIA 460 DEL VALLE","","",""
"1007013","RIO MISSOURI PTE 461","","","DEL VALLE"
"1007014","RIO NAVIA 450 DEL VALLE","","",""
"1007015","RIO MISSOURI 419 DEL VALLE","","",""
"1007016","RIO NAVIA","444","","DEL VALLE"
"1007017","MISSOURI 417 DEL VALLE","","",""
"1007018","RIO NAVIA 428","","","DEL VALLE"
"1007019","RIO MISSOURI PTE 411","","","DEL VALLE"
"1007020","RIO NAVIA","426","","DEL VALLE"
"1007021","RIO MISSOURI OTE 409","","","DEL VALLE"
"1007022","RIO NAVIA","424","","DEL VALLE"
"1007023","RIO MISSOURI PTE 437","","","DEL VALLE"
"1007024","RIO NAVIA 422","","","DEL VALLE"
"1007025","RIO MISSOURI PTE 415","","","DEL VALLE"
"1007026","RIO NAVIA PTE","420","","DEL VALLE"
"1007027","RIO BRAVO","700","","DEL VALLE"
"1007028","RIO BRAVO","704","","DEL VALLE"
"1007030","RIO NAVIA 440","","","DEL VALLE"
"1007031","RIO NAVIA 456","","","DEL VALLE"
"1008001","RIO GUADALQUIVIR","515","",""
"1008002","RIO MISSOURI 560 DEL VALLE","","",""
"1008003","RIO GUADALQUIVIR PTE 509","","","DEL VALLE"
"1008004","RIO MISSOURI PTE 558","","","DEL VALLE"
"1008007","RIO GUADALQUIVIR 505","","","DEL VALLE"
"1008008","RIO TAMES1 NTE 666","","","DEL VALLE"
"1008009","RIO MISSOURI PTE","510","","DEL VALLE"
"1008010","RIO GUADALQUIVIR 513 DEL VALLE","","",""
"1008011","RIO GUADALQUIVIR","505","A","DEL VALLE"
"1008012","RIO MARNE","517","","DEL VALLE"
"1008013","HUMBERTO LOBO","802","","DEL VALLE"
"1008014","RIO GUADALQUIVIR PTE","507","","DEL VALLE"
"1008015","RIO MISSOURI PTE","556","","DEL VALLE"
"1009001","RIO GUADALQUIVIR","429","","DEL VALLE"
"1009002","RIO MISSOURI","S/N","",""
"1009003","RIO GUADALQUIVIR PONIENTE","423","","DEL VALLE"
"1009004","RIO MISSOURI 428","","","DEL VALLE"
"1009005","RIO GUADALQUIVIR PTE","421","","DEL VALLE"
"1009006","RIO MISSOURI PTE 420 DEL VALLE","","",""
"1009007","RIO GUADALQUIVIR PTE","413","","DEL VALLE"
"1009008","RIO MISSOURI","410 PTE","","DEL VALLE"
"1009009","RIO MISSOURI PTE","410","","DEL VALLE"
"1009010","RIO GUADALQUIVIR 405","","","DEL VALLE"
"1009011","RIO MISSOURI PTE","406","","DEL VALLE"
"1009012","RIO BRAVO NTE 602","","","DEL VALLE"
"1009016","RIO GUADALQUIVIR PTE","425","","DEL VALLE"
"1009018","RIO MISSOURI","440","","DEL VALLE"
"1009019","RIO MISSOURI","426","","DEL VALLE"
"1009020","RIO GUADALQUIVIR","427","","DEL VALLE"
"1009021","RIO MISSOURI","422","","DEL VALLE"
"1010001","RIO GUADALQUIVIR","349","","DEL VALLE"
"1010002","RIO MISSOURI 324","","","DEL VALLE"
"1010003","RIO GUADALQUIVIR PTE","369","","DEL VALLE"
"1010004","RIO MISSOURI PTE","322","","DEL VALLE"
"1010005","RIO GUADALQUIVIR PTE","345","","DEL VALLE"
"1010006","RIO GUADALQUIVIR PTE","347","","DEL VALLE"
