"exped","ubic","numextubi","numintubi","colubi"
"8043006","LA PARVADA","1001","","PALO BLANCO"
"8043008","PRIVADA LA PARVADA","1000","","HACIENDA EL ROSARIO"
"8043009","LA PARVADA","1010","","PALO BLANCO"
"8043010","AV NEIL AMSTRONG","L010 M043","",""
"8043011","PARVADA","800","A","PALO BLANCO"
"8043013","PARVADA 600","","","PALO BLANCO"
"8043014","NEIL ARMSTRONG","600","","MIRASIERRA"
"8043015","PARVADA","600","4","PALO BLANCO"
"8043016","NEIL AMSTRONG","640","","ZONA MIRASIERRA"
"8043017","PRIV EL ROSARIO","717","",""
"8043018","NEIL ARMSTRONG","INT","","PALO BLANCO"
"8043019","PRIV PARVADA 999","","","PALO BLANCO"
"8043020","PRIV PARVADA","997","",""
"8043021","PARVADA","995","","PALO BLANCO"
"8043022","LA VENTANA 1020","","","HACIENDA EL ROSARIO"
"8043023","PARVADA","","",""
"8043024","NEIL ARMSTRONG 801","","","MIRASIERRA"
"8043025","PRIVADA AMSTRONG","802","","MIRASIERRA"
"8043026","PRIV LA FRAGUA","803","","MIRASIERRA"
"8043027","PRIV LA FRAGUA","806","","MIRASIERRA"
"8043028","LA PARVADA","1016","","QUINTA LA PARVADA"
"8043029","LOS ANGELITOS","1008","","LA VENTANA"
"8043030","CALLE PRIVADA","L3B","",""
"8043032","PARVADA","120","","LOS ANGELITOS"
"8043033","PRIV LOS ANGELITOS","S/N","","LOS ANGELITOS"
"8043034","CALLE SIN NOMBRE","","",""
"8043035","SIN NOMBRE","L5","","HACIENDA DEL ROSARIO"
"8043036","PRIV FRIDA","1015","",""
"8043037","LA PARVADA","1011","","ZONA LA VENTANA"
"8043038","NEIL ARMSTRONG","717","","MIRASIERRA"
"8043039","NEIL ARMSTRONG","727","","MIRASIERRA"
"8043040","LA PARVADA","1014","","QUINTA PARVADA"
"8043041","SANTA CLARA","910","","EL ROSARIO"
"8043042","PARVADA","S/N","","EL ROSARIO"
"8043043","PARVADA","","","EL ROSARIO"
"8043044","PARVADA","L44 M43","","EL ROSARIO"
"8043045","SANTA CLARA","L5","","EL ROSARIO"
"8043046","PRIV LAS CAMPANAS","905","","HDA LAS CAMPANAS"
"8043047","SANTA CLARA","907","","EL ROSARIO"
"8043048","SANTA CLARA","909","","EL ROSARIO"
"8043049","LAS CAMPANAS","911","","HDA LAS CAMPANAS"
"8043050","SANTA CLARA","INT 908","","EL ROSARIO"
"8043051","PRIVADA EL CAMPANARIO","906","","HACIENDA LAS CAMPANA"
"8043052","SANTA CLARA","L52","","EL ROSARIO"
"8043053","SANTA CLARA","902","","EL ROSARIO"
"8043054","SANTA CLARA","904","","EL ROSARIO"
"8043059","NEIL ARMSTRONG","","",""
"8043060","NEIL ARMSTRONG L-C3 INT","","",""
"8043061","CONQUISTADORES","L61 M43","","MIRASIERRA"
"8043062","PRIV SAN ANDRES","1901","1","COND SAN ANDRES"
"8043063","PRIV SAN ANDRES","1901","2",""
"8043064","PRIV SAN ANDRES","1901","3",""
"8043065","PRIV SAN ANDRES","1901","4",""
"8043066","PRIV SAN ANDRES","1901","5",""
"8043067","PRIV SAN ANDRES","1901","6",""
"8043069","PRIVADA SAN ANDRES","1901","7","PRIVADA SAN ANDRES"
"8043070","PRIV SAN ANDRES","1901","8",""
"8043071","PRIV SAN ANDRES","1901","9",""
"8043072","PRIV SAN ANDRES","1901","10",""
"8043073","RETORNO LA FRAGUA","808","","MIRA SIERRA"
"8043074","RETORNO LA FRAGUA","804","","MIRASIERRA"
"8043080","ALFONSO REYES","L80","","MIRA SIERRA"
"8043081","ALFONSO REYES","L81","","MIRA SIERRA"
"8043082","PRIV SAN ANDRES","L82","","MIRA SIERRA"
"8043084","PRAVDA","INT","","PALO BLANCO"
"8043085","PRAVDA","INT","","PALO BLANCO"
"8043086","PRAVDA","INT","","PALO BLANCO"
"8043087","PRAVDA","INT","","PALO BLANCO"
"8043088","PRAVDA","8","","PALO BLANCO"
"8043089","PRAVDA","600","6","PALO BLANCO"
"8043090","PRIVADA LA PARVADA","5","","PALO BLANCO"
"8043091","AV LA VENTANA","2000","","ZONA LA VENTANA"
"8044001","AVENIDA ALFONSO REYES","1809","","PALO BLANCO"
"8044002","ALFONSO REYES","1405","","PALO BLANCO"
"8044003","VENUSTIANO CARRANZA","1497","",""
"8044004","VENUSTIANO CARRANZA","807","",""
"8044005","DEGOLLADO","803","","SAN PEDRO"
"8044006","DEGOLLADO","L6 M44","","ZONA CENTRO"
"8044007","PUEBLA","1540","","PALO BLANCO"
"8044008","PUEBLA","1518","","PALO BLANCO"
"8044009","VENUSTIANO CARRANZA","1403","",""
"8044010","DEGOLLADO","805","",""
"8044011","PUEBLA","L 2","","ZONA CENTRO"
"8044012","PUEBLA","L 3","","ZONA CENTRO"
"8044013","PUEBLA","L4","","ZONA CENTRO"
"8045001","DEL ENCINO","107","","LOMAS DEL ROSARIO"
"8045002","C DEL ENCINO 104","","","LOMAS DEL ROSARIO"
"8045003","C DEL ENCINO L3 M45","","","LOMAS DEL ROSARIO"
"8045004","C DEL ENCINO","101","","LOMAS DEL ROSARIO"
"8045005","LOMAS DEL ROSARIO 110","","","LOMAS DEL ROSARIO"
"8045006","L DEL ROSARIO 104","","","LOMAS DEL ROSARIO"
"8045007","L DEL ROSARIO","L7 M45","","DEL ROSARIO"
"8045008","LOMAS DEL ROSARIO L8 M45","","","LOMAS DEL ROSARIO"
"8045009","ENCINO","105-B","","L DEL ROSARIO"
"8046001","C DEL ENCINO","106","","LOMAS DEL ROSARIO"
"8046002","DEL ENCINO","104","","LOMAS DEL ROSARIO"
"8046003","LOMAS DEL ROSARIO","201","","LOMAS DEL ROSARIO"
"8046004","AV LOMAS DEL ROSARIO","202","","LOMAS DEL ROSARIO"
"8046005","LOMAS DEL ROSARIO","203","","LOMAS DEL ROSARIO"
"8046006","L EL ROSARIO","204","","LOMAS DEL ROSARIO"
"8046007","L DEL ROSARIO 205","","","LOMAS DEL ROSARIO"
"8046008","LOMAS DEL ROSARIO","120","","LOMAS DEL ROSARIO"
"8046009","PRIV DEL CIPRES 103","","","LOMAS DEL ROSARIO"
"8046010","PRIV DEL CIPRES","105","","LOMAS DEL VALLE"
"8046011","PRIV DEL CIPRES","107","","LOMAS DEL ROSARIO"
"8046012","PRIV DEL CIPRES","109","","ZONA CENTRO"
"8046013","PRIV DEL CIPRES","112","","LOMAS EL ROSARIO"
"8046014","PRIV DEL CIPRES","110","",""
"8046016","PRIV DEL CIPRES L16 M46","","","EL ROSARIO"
"8046017","C DEL SAUCE","102","","LOMAS DEL ROSARIO"
"8046018","C DEL SAUCE","98","","LOMAS DEL ROSARIO"
"8046019","L DEL ROSARIO LOMAS EL ROSARIO","","",""
"8046020","PRIV DEL CIPRES","106","","LOMAS DEL ROSARIO"
"8047001","LOMAS DEL ROSARIO 103","","","LOMAS DEL ROSARIO"
"8047002","LOMAS DEL ROSARIO","105","","LOMAS DEL ROSARIO"
"8047003","LOMAS DEL ROSARIO","107","","LOMAS DEL ROSARIO"
"8047004","LOMAS DEL ROSARIO 109","","","LOMAS DEL ROSARIO"
"8047005","L DEL ROSARIO","111","","LOMAS DEL ROSARIO"
"8047006","LOMAS DEL ROSARIO","113","","LOMAS DEL ROSARIO"
"8047007","L DEL ROSARIO","115","",""
"8047008","L DEL ROSARIO","117","","LOMAS DEL ROSARIO"
"8047009","L DEL ROSARIO","119","","LOMAS DEL ROSARIO"
"8047010","LOMAS DEL ROSARIO","S/N","","LOMAS DEL ROSARIO"
"8047011","LOMAS DEL ROSARIO","123","","LOMAS DEL ROSARIO"
"8047012","PRIV LOS OLIVOS","114","","LOMAS DEL ROSARIO"
"8047013","PRIV LOS OLIVOS","112","","LOMAS DEL ROSARIO"
"8047014","PRIV LOS OLIVOS 110","","","LOMAS DEL ROSARIO"
"8047015","PRIV LOS OLIVOS","108","","LOMAS DEL ROSARIO"
"8047016","PRIVADA LOS OLIVOS","106","","LOMAS DEL ROSARIO"
"8047018","PRIV LOS OLIVOS","104","",""
"8047019","PRIV LOS OLIVOS 102","","","LOMAS DEL ROSARIO"
"8047020","PRIV LOS OLIVOS","103","","LOMAS DEL ROSARIO"
"8047021","AV L DEL ROSARIO L21 M47","","","LOMAS DEL ROSARIO"
"8047022","AV L DEL ROSARIO L22 M47","","","LOMAS DEL ROSARIO"
"8047023","AV L DEL ROSARIO L23 M47","","","LOMAS DEL ROSARIO"
"8048001","AV DEL CEDRO","101","","LOMAS DEL ROSARIO"
"8048002","DEL SAUCE","L2 M48","","LOMAS DEL ROSARIO"
"8048005","LOMAS DEL ROSARIO","LOTE 1","","LOMAS DEL ROSARIO"
"8048006","LOMAS DEL ROSARIO","480","","LOMAS DEL ROSARIO"
"8048007","L DEL ROSARIO","L7 M48","",""
"8048008","PRIV PALMA","100","","LOMAS DEL ROSARIO"
"8048011","PRIV PALMAS","126","","LOMAS DEL ROSARIO"
"8048012","AVE DEL CEDRO","102","","LOMAS DEL ROSARIO"
"8048013","AV DEL CEDRO","L13 M48","","LOIMAS DEL ROSARIO"
"8049001","AVE DEL CEDRO","100","","LOMAS DEL ROSARIO"
"8049002","AV DEL CEDRO","114","","LOMAS DEL ROSARIO"
"8049003","AV DEL CEDRO","102","","LOMAS DEL ROSARIO"
"8049004","AV DEL CEDRO","106","","LOMAS DEL ROSARIO"
"8049005","DEL CEDRO","108","","LOMAS DEL ROSARIO"
"8049006","PALMA","110","","LOMAS DEL ROSARIO"
"8049008","PALMAS L8 M49","","","LOMAS DEL ROSARIO"
"8050001","PALMAS","103","","LOMAS DEL ROSARIO"
"8050002","PALMAS","111","","L DEL ROSARIO"
"8050003","PALMAS","109","","L DEL ROSARIO"
"8050004","PALMAS","107","","LOMAS DEL ROSARIO"
"8050007","PRIV PALMAS","L7 M50","","LOMAS DEL ROSARIO"
"8050008","AV LOMAS DEL ROSARIO","L 8 M 50","","LOMAS DEL ROSARIO"
"8050009","L DEL ROSARIO","L9 M50","",""
"8050010","L DEL ROSARIO","144","","LOMAS DEL ROSARIO"
"8050011","LOMAS DEL ROSARIO","144","","LOMAS DEL ROSARIO"
"8050013","AV LOMAS DEL ROSARIO","L13 M50","","LOMAS DEL RISARIO"
"8050014","PALMAS","S/N","","LOMAS DEL ROSARIO"
"8050015","LOMAS DEL ROSARIO","S/N","","LOMAS DEL ROSARIO"
"8051001","DEGOLLADO SUR","102","","MIRASIERRA"
"8051002","PRIV DEGOLLADO SUR 104","","",""
"8051003","PRIV DEGOLLADO SUR 106","","",""
"8051004","PRIV DEGOLLADO SUR","108","",""
"8051005","PRIV DEGOLLADO SUR","110","",""
"8051006","PRIV DEGOLLADO SUR","112","","PALO BLANCO"
"8051007","PRIV DEGOLLADO SUR","114","",""
"8052001","DEGOLLADO L 1 M 52","","",""
"8052002","PRIV DEGOLLADO NTE","104","",""
"8052003","PRIV DEGOLLADO NTE 106","","","PALO BLANCO"
"8052004","PRIV DEGOLLAD0","108","","SAN PEDRO"
"8052005","PRIV DEGOLLADO 110","","","MIRASIERRA"
"8052006","PRIV DEGOLLADO NTE 112","","","MIRASIERRA"
"8052007","PRIV DEGOLLADO SUR 111","","","MIRASIERRA"
"8052008","PRIV DEGOLLADO SUR","109","","MIRASIERRA"
"8052009","PRIV DEGOLLADO SUR 107","","",""
"8052010","PRIV DEGOLLADO SUR","105","","MIRASIERRA"
"8052011","PRIV DEGOLLADO","103","",""
"8052012","PRIV NEIL ARMSTRONG","122","","MIRASIERRA"
"8052013","PRIV NEIL ARMSTRONG","120","","MIRASIERRA"
"8052014","PRIV NEIL ARMSTRONG 118","","","MIRASIERRA"
"8052015","PRIV NEIL ARMSTRONG 116","","","MIRASIERRA"
"8052016","PRIV NEIL ARMSTRONG","114","","LA VENTANA"
"8052017","PRIV NEIL ARMSTRONG 112","","","MIRASIERRA"
"8052018","PRIV NEIL ARMSTRONG","110","","PALO BLANCO"
"8052019","PRIV NEIL ARMSTRONG","108","","MIRASIERRA"
"8052020","PRIV NEIL ARMSTRONG 106","","","SAN PEDRO"
"8052021","PRIVADA NEIL ARMSTRONG","104","","MIRASIERRA"
"8052022","PRIV NEIL ARMSTRONG 102","","","MIRASIERRA"
"8053001","DEGOLLADO 101","","","SAN PEDRO"
"8053002","PRIV DEGOLLADO NTE 103","","","SAN PEDRO"
"8053003","PRIV DEGOLLADO","105","","SAN PEDRO"
"8053004","PRIV DEGOLLADO 107 NTE","","","SAN PEDRO"
"8053005","PRIV DEGOLLADO","109","","SAN PEDRO"
"8053006","PRIV DEGOLLADO NTE","111","","SAN PEDRO"
"8053007","PRIV DEGOLLADO NTE 113","","",""
"8053012","PEDRO VALDIVIA 1500","","","JARDINES MIRASIERRA"
"8053013","P VALDIVIA","1504","","JARDINES MIRASIERRA"
"8053014","P VALDIVIA","1508","","JARDINES MIRASIERRA"
"8053015","PEDRO VALDIVIA 1512","","","JARDINES MIRASIERRA"
"8053016","P VALDIVIA L16 M53","","","JARDINES MIRASIERRA"
"8053017","P VALDIVIA","1520","","JARDINES MIRASIERRA"
"8053018","PEDRO VALDIVIA 1524","","","JARDINES MIRASIERRA"
"8053019","PEDRO VALDIVIA","1528","","JARDINES DE MIRASIER"
"8053020","PEDRO VALDIVIA","1532","","JARDINES MIRASIERRA"
"8053021","PEDRO VALDIVIA","1536","","JARDINES MIRASIERRA"
"8054001","AMERICA","S/N","","MIRASIERRA"
"8054002","AMERICA","132","","MIRASIERRA"
"8054003","AMERICA 130","","","MIRASIERRA"
"8054004","AMERICA 128","","","MIRASIERRA"
"8054006","AMERICA","126","","MIRASIERRA"
"8054007","AMERICA","124","","MIRASIERRA"
"8054008","AMERICA","110","","MIRASIERRA"
"8054009","AMERICA","108","","MIRASIERRA"
"8054010","AMERICA","106","","MIRASIERRA"
"8054011","AMERICA","104","A","MIRASIERRA"
"8054012","AMERICA","104","A","MIRASIERRA"
"8054013","AMERICA","102","","MIRASIERRA"
"8054014","AMERICA","100","","MIRASIERRA"
"8054015","FERNANDO DE MAGALLANES","101","","MIRASIERRA"
"8054016","FERNANDO DE MAGALLANES","103","","MIRASIERRA"
"8054017","FERNANDO DE MAGALLANES","105","","MIRASIERRA"
"8054018","FERNANDO DE MAGALLANES","107","","MIRASIERRA"
"8054019","FERNANDO DE MAGALLANES","109","","MIRASIERRA"
"8054020","FERNANDO DE MAGALLANES","111","","MIRASIERRA"
"8054021","FERNANDO DE MAGALLANES 113","","","MIRASIERRA"
"8054022","FERNANDO DE MAGALLANES 115","","","MIRASIERRA"
"8054023","FERNANDO DE MAGALLANES","114","","MIRASIERRA"
"8054024","FERNANDO DE MAGALLANES 112","","","MIRASIERRA"
"8054025","FERNANDO DE MAGALLANES 110","","","MIRASIERRA"
"8054026","FERNANDO MAGALLANE","108","","MIRASIERRA"
"8054027","FERNANDO DE MAGALLANES","106","","MIRASIERRA"
"8054028","FERNANDO DE MAGALLANES","104","","MIRASIERRA"
"8054029","FERNANDO DE MAGALLANES","100","","MIRASIERRA"
"8054030","FERNANDO DE MAGALLANES","100","","MIRASIERRA"
"8055001","PRIV LOS OLIVOS","L1 M55","","LOMAS DEL ROSARIO"
"8057001","NEIL ARMSTRONG 119","","","MIRASIERRA"
"8057002","PRIV NEIL ARMSTRONG 117","","","MIRASIERRA"
"8057003","PRIV NEIL ARMSTRONG","115","","MIRASIERRA"
"8057004","PRIV NEIL ARMSTRONG 113","","","MIRASIERRA"
"8057005","PRIV NEIL ARMSTRONG 111","","","MIRASIERRA"
"8057006","PRIV NEIL ARMSTRONG 109","","","OBISPADO"
"8057007","PRIV NEIL ARMSTRONG","107","","MIRASIERRA"
"8057008","PRIV NEIL ARMSTRONG 105","","","MIRASIERRA"
"8057009","PRIV NEIL ARMSTRONG","103","","MIRASIERRA"
"8058001","VALLE DEL MEZQUITE 1401","","","VALLE DEL MEZQUITE"
"8058002","VALLE DEL MEZQUITE L2 M58","","","VALLE DEL MEZQUITE"
"8058003","VALLE DEL MEZQUITE","1405","","VALLE DEL MEZQUITE"
"8058005","VALLE DEL MEZQUITE 1407","","","VALLE DEL MEZQUITE"
"8058006","VALLE DEL MEZQUITE","1411","","PALO BLANCO"
"8058007","VALLE DEL MEZQUITE","1413","","VALLE DEL MEZQUITE"
"8058008","VALLE DEL MEZQUITE 1415","","","VALLE DEL MEZQUITE"
"8058009","VALLE DEL MEZQUITE","L009 M058","","VALLE DEL MEZQUITE"
"8058010","VALLE DEL MEZQUITE 1419","","","VALLE DEL MEZQUITE"
"8058011","VALLE DEL MEZQUITE","1421","","VALLE DEL MEZQUITE"
"8058013","VALLE DEL MEZQUITE","1425","","VALLE DEL MEZQUITE"
"8058014","VALLE DEL MEZQUITE","1427","","VALLE DEL MEZQUITE"
"8058015","VALLE DEL MEZQUITE","1429","","VALLE DEL MEZQUITE"
"8058016","VALLE DEL MEZQUITE 1431","","","VALLE DEL MEZQUITE"
"8058017","VALLE DEL MEZQUITE L17 M58","","","VALLE DEL MEZQUITE"
"8058018","VALLE DEL MEZQUITE","1435","","VALLE DEL MEZQUITE"
"8058019","VALLE DEL MEXQUITE 1439","","","VALLE DEL MEXQUITE"
"8058020","VALLE DEL MEZQUITE 1437","","","VALLE DEL MEZQUITE"
"8058021","VALLE DEL MEZQUITE","1441","","VALLE DEL MEZQUITE"
"8059001","VALLE DEL MEZQUITE 1400","","","VALLE DEL MEZQUITE"
"8059002","VALLE DEL MEZQUITE","1402","","VALLE DEL MEZQUITE"
"8059003","VALLE DEL MEZQUITE","1404","","VALLE DEL MEZQUITE"
"8059004","VALLE DEL MEZQUITE","1406","","VALLE DEL MEZQUITE"
"8059005","VALLE DEL MEZQUITE","L-5 M-59","","VALLE DEL MEZQUITE"
"8059006","VALLE DEL MEZQUITE","L-6 M-59","","VALLE DEL MEZQUITE"
"8059007","VALLE DEL MEZQUITE","1412","","VALLE DEL MEZQUITE"
"8059008","VALLE DEL MEZQUITE 1414","","","VALLE DEL MEZQUITE"
"8059009","VALLE DEL MEZQUITE 1416","","","VALLE DEL MEZQUITE"
"8059010","VALLE DEL MEZQUITE  L10 M59","","","VALLE DEL MEZQUITE"
"8059011","VALLE DEL MEZQUITE","1420","","VALLE DEL MEZQUITE"
"8059012","VALLE DEL MEZQUITE","1422","","VALLE DEL MEZQUITE"
"8059014","FUTURA PROL GALEANA L14 M59","","","VALLE DEL MEZQUITE"
"8059101","GALEANA","1517","DEPTO 1","VALLE DEL MEZQUITE"
"8059102","PROL GALEANA","1517","DEPTO 2","VALLE DEL MEZQUITE"
"8059103","PROL GALEANA","1517 D 3","","VALLE DEL MEZQUITE"
"8059104","PROL GALEANA","1517","DEP-4","VALLE DEL MEZQUITE"
"8059105","PROL GALEANA","1517","DEP 5","VALLE DEL MEZQUITE"
"8059106","PROL GALEANA","1517","DEP-6","VALLE DEL MEZQUITE"
"8059107","PROL GALEANA 1517 DEP-7","","","VALLE DEL MEZQUITE"
"8059108","PROL GALEANA","1517","D-8","VALLE DEL MEZQUITE"
"8059109","PROL GALEANA","1517","DEP 9","VALLE DEL MEZQUITE"
"8059110","PROL GALEANA","1517","DEP-10","VALLE DEL MEZQUITE"
"8060001","GALEANA 1500","","","JARDINES MIRASIERRA"
"8060002","GALEANA 1504","","","JARDINES MIRASIERRA"
"8060003","GALEANA 1508","","","JARDINES MIRASIERRA"
"8060004","GALEANA","1512","","JARDINES MIRASIERRA"
"8060005","GALEANA","1516","","JARDINES MIRASIERRA"
"8060006","GALEANA","1520","","JARDINES MIRASIERRA"
"8060007","GALEANA","1524","","JARDINES MIRASIERRA"
"8060008","GALEANA","1528","","JARDINES MIRASIERRA"
"8060009","GALEANA 1532","","","JARDINES MIRASIERRA"
"8060010","16 DE SEPTIEMBRE","S/N","","JARDINES MIRASIERRA"
"8060011","16 DE SEPTIEMBRE","1537","","JARDINES MIRASIERRA"
"8060012","16 DE SEPTIEMBRE","1533","","JARDINES MIRASIERRA"
"8060013","16 DE SEPTIEMBRE","1529","","JARDINES MIRASIERRA"
"8060014","16 DE SEPTIEMBRE 1525","","","JARDINES MIRASIERRA"
"8060015","16 DE SEPTIEMBRE 1521","","","JARDINES MIRASIERRA"
"8060016","16 DE SEPTIEMBRE 1517","","","JARDINES MIRASIERRA"
"8060017","16 DE SEPTIEMBRE","1513","","JARDINES MIRASIERRA"
"8060018","16 DE SEPTIEMBRE","1509","","JARDINES MIRASIERRA"
"8060019","16 DE SEPTIEMBRE 1505","","","JARDINES MIRASIERRA"
"8060020","16 DE SEPTIEMBRE","1501","","JARDS MIRASIERRA"
"8060021","HERMENEGILDO GALEANA","1502","","JARDINES DE MIRASIER"
"8061001","16 DE SEPTIEMBRE","1500","","JARDINES MIRASIERRA"
"8061002","16 DE SEPTIEMBRE 1504","","","JARDINES MIRASIERRA"
"8061003","16 DE SEPTIEMBRE 1508","","","JARDINES MIRASIERRA"
"8061004","16 DE SEPTIEMBRE 1512","","","JARDINES MIRASIERRA"
"8061005","16 DE SEPTIEMBRE","1516","","JARDINES MIRASIERRA"
"8061006","16 DE SEPTIEMBRE","1520","","JARDINES MIRASIERRA"
"8061007","16 DE SEPTIEMBRE","1524","","JARDINES MIRASIERRA"
"8061008","16 DE SEPTIEMBRE","1528","","JARDINES MIRASIERRA"
"8061009","16 DE SEPTIEMBRE 1532","","","JARDINES MIRASIERRA"
"8061010","16 DE SEPTIEMBRE 1541","","","JARDINES MIRASIERRA"
"8061011","ARMSTRONG","210","","JARDINES MIRASIERRA"
"8061012","ARMSTRONG","220","","JARDINES MIRASIERRA"
"8061013","FRANCISCO PIZARRO","1533","","JARDINES MIRASIERRA"
"8061014","FRANCISCO PIZARRO 1529","","","JARDINES MIRASIERRA"
"8061015","FRANCISCO PIZARRO","1525","","JARDINES MIRASIERRA"
"8061016","FRANCISCO PIZARRO","1521","","JARDINES MIRASIERRA"
"8061017","FRANCISCO PIZARRO L17 M61","","","JARDINES MIRASIERRA"
"8061018","FRANCISCO PIZARRO 1513","","","JARDINES MIRASIERRA"
"8061019","FRANCISCO PIZARRO 1509","","","JARDINES MIRASIERRA"
"8061020","FRANCISCO PIZARRO 1505","","","JARDINES MIRASIERRA"
"8061021","FRANCISCO PIZARRO","1501","","JARDINES MIRASIERRA"
"8062001","FRANCICSCO PIZARRO","1500","","JARDINES MIRASIERRA"
"8062002","FRANCISCO PIZARRO","1504","","JARDINES MIRASIERRA"
"8062003","FRANCISCO PIZARRO","1508","","JARDINES MIRRASIERRA"
"8062004","FRANCISCO PIZARRO 1512","","","JARDINES MIRRASIERRA"
"8062005","FRANCISCO PIZARRO","1516","","JARDINES MIRASIERRA"
"8062006","FRANCISCO PIZARRO","1520","","JARDINES MIRASIERRA"
"8062007","FRANCISCO PIZARRO","1524","","JARDINES MIRASSIERRA"
"8062008","FRANCISCO PIZARRO","1528","","JARDINES MIRASIERRA"
"8062009","FRANCISCO PIZARRO","1532","","JARDINES MIRASIERRA"
"8062010","ARMSTRONG","300","","JARDINES MIRASIERRA"
"8062011","NEIL AMSTRONG","310","","JARDINES MIRASIERRA"
"8062012","PEDRO VALDIVIA","1537","","JARDINES MIRASIERRA"
"8062013","PEDRO VALDIVIA","1533","","JARDINES MIRASIERRA"
"8062014","PEDRO VALDIVIA","1529","","JARDINES MIRASIERRA"
"8062015","PEDRO VALDIVIA","1525","","JARDINES MIRASIERRA"
"8062016","P VALDIVIA","1521","","JARDINES MIRASIERRA"
"8062017","PEDRO VALDIVIA","1517","","JARDINES MIRASIERRA"
"8062018","PEDRO VALDIVIA","1513","","JARDINES MIRASIERRA"
"8062019","PEDRO DE VALDIVIA","1509","","JARDS DE MIRASIERRA"
"8062020","PEDRO VALDIVIA","1505","","JARDINES MIRASIERRA"
"8062021","P VALDIVIA","1501","","JARD DE MIRASIERRA"
"8066001","CALZ ROSARIO","","",""
"8067001","CALZ EL ROSARIO","","",""
"8068001","CALZ EL ROSARIO","","",""
"8069001","CALZ EL ROSARIO","","",""
"8070001","CALZ EL ROSARIO","","",""
"8071001","CALZ EL ROSARIO","","",""
"8072001","CALZ EL ROSARIO","","",""
"8073001","CALZ EL ROSARIO","","",""
"9001001","LIBERTAD 467","","","SAN PEDRO"
"9001002","HIDALGO","414","",""
"9001003","HIDALGO","402","",""
"9001004","HIDALGO","403","403 A",""
"9001008","LIBERTAD","431","","SAN PEDRO"
"9001010","HIDALGO","420 Y 442","",""
"9001011","HIDALGO","528","","RINCON COLONIAL"
"9001012","HIDALGO","L12 M1","",""
"9001023","HIDALGO","418","",""
"9001040","NI/OS HEROES 122","","",""
"9001041","AV NI¥OS HEROES","100/106","","NARANJO"
"9001042","NI/OS HEROES","102","","NEMESIO GARCIA N"
"9001043","AV NI/OS HEROES 104","","","GARCIA NARANJO"
"9001044","AVE N HEROES","106","",""
"9001045","NI¥OS HEROES","108","","RINCON COLONIAL"
"9001046","AVE NI/OS HEROES 110 N GCIA","","",""
"9001047","NI/OS HEROES 112 GCIA NARNJ","","",""
"9001048","AVE NI¥OS HEROES","114","","N GARCIA NARANJO"
"9001049","AVE NI/OS HEROES 116","","",""
"9001050","AVE NI¥OS HEROES","118","","NEMECIO GCIA NARANJO"
"9001051","AVE N HEROES","120","A","R COLONIA"
"9001053","HIDALGO","","",""
"9001054","HIDALGO 444","","",""
"9001055","LIBERTAD 409","","","SAN PEDRO"
"9001058","HIDALGO","442","","SAN PEDRO"
"9001059","AVE NI/OS HEROES","114 A","","NEMESIO GARCIA NARAN"
"9001060","LIBERTAD","L60 M1","","SAN PEDRO"
"9001061","LIBERTAD","","","SAN PEDRO"
"9001062","LIBERTAD PONIENTE","S/N","","SAN PEDRO"
"9002003","CAPELLANIA 24 Y JUAREZ","","","CARRIZALEJO"
"9002005","JUAREZ Y CAPELLANIA","808","","CASCO DE SAN PEDRO"
"9002006","CALLEJON DE CAPELLANIA","105","",""
"9002007","JUAREZ","887","",""
"9002008","CAPELLANIA","L 1","",""
"9002009","CAPELLANIA","L 2","INT",""
"9002013","CALLEJON DE CAPELLANIA","S/N","",""
"9003008","CORREGIDORA","521","",""
"9003009","CORREGIDORA","519","","SAN PEDRO"
"9003011","C DE LOS AYALA 236","","",""
"9003012","C DE LOS ARIZPE","S/N","",""
"9003013","CORREGIDORA OTE","519","",""
"9003015","JUAREZ","600 AL 608","",""
"9003016","JUAREZ","","",""
"9004003","INDEPENDENCIA PTE","239","",""
"9004004","INDEPENDENCIA 123","","",""
"9004007","INDEPENDENCIA","209","",""
"9004008","INDEPENDENCIA","227","","CASCO SAN PEDRO"
"9004010","INDEPENDENCIA","207","",""
"9004012","INDEPENDENCIA","109","","CASCO URBANO"
"9004013","CORREGIDORA","511","","SAN PEDRO"
"9004015","INDEPENDENCIA","203 Y 205","",""
"9004018","INDEPENDENCIA","111","",""
"9004021","INDEPENDENCIA","205","A",""
"9004022","INDEPENDENCIA 221","","",""
"9004024","INDEPENDENCIA 121","","","SAN PEDRO"
"9004026","JUAREZ Y C DE LOS A","","",""
"9004029","C DE LOS ARIZPE 510","","",""
"9004030","CALLEJON DE LOS ARIZPE 510","","",""
"9004031","C DE LOS ARIZPE","","",""
"9004032","C DE LOS ARIZPE","","",""
"9004034","INDEPENDENCIA INT","","",""
"9004035","INDEPENDENCIA PTE","500","",""
"9004040","CORREGIDORA NTE","513","","CENTRO"
"9004042","CORREGIDORA E INDEP","S/N","",""
"9004044","CALLEJON DE LOS ARIZPE","S/N","",""
"9004045","INDEPENDENCIA","207","",""
"9005002","JUAREZ","604","",""
"9005003","CORREGIDORA","L1","",""
"9005004","CORREGIDORA","L 2","",""
"9005005","CORREGIDORA","L 3","",""
"9005006","CALLEJON DE LOS AYALA","L2","",""
"9006002","JUAREZ SUR","700","","CENTRO"
"9006003","JUAREZ","S/N","",""
